,title,subtitle,link
0,NAPOLI SNUB,Osimhen appears to snub Napoli team-mates after 'unacceptable' video posted,https://www.thesun.co.uk/sport/24168201/victor-osimhen-napoli-team-hotel-video/
1,ATHLETIC VS GETAFE,Latest updates as Mason Greenwood STARTS first La Liga match-up,https://www.thesun.co.uk/sport/24163774/athletic-bilbao-vs-getafe-live-score-mason-greenwood-updates/
2,IN A JAM,Crocked Chelsea captain Reece James facing BAN for 'abusing match official',https://www.thesun.co.uk/sport/24174723/chelsea-reece-james-ban-fa-charge/
3,ROY'S READ,Keane says 'I'd be ashamed of my life' if Sancho situation happened to him,https://www.thesun.co.uk/sport/24165179/roy-keane-jadon-sancho-man-utd/
4,ROLEX,"Win an incredible rose gold Rolex or £27,500 cash from just 54p with our discount",https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
5,GUESS WHO?,Football legend hiding in incredible farm optical illusion - can you see him?,https://www.thesun.co.uk/sport/24173853/football-optical-illusion-goat-lionel-messi/
6,AJ-AXED,Feyenoord star completes hat-trick 72 HOURS after scoring in abandoned game,https://www.thesun.co.uk/sport/24170134/ajax-lose-resumed-match-rivals-feyenoord/
7,NOT KEANE,Keane slams players he fell out with as 'idiots' who did nothing in their career,https://www.thesun.co.uk/sport/24165601/manchester-united-roy-keane-idiots-fell-out-manager/
8,ON GUARD,Pep makes ‘excuse of the season’ by moaning about trip to Newcastle for cup tie,https://www.thesun.co.uk/sport/24161563/pep-guardiola-manchester-city-excuse-plane-newcastle/
9,SET THE TONE,Arsenal 'identify backup option as Brentford demand £80m for Ivan Toney’,https://www.thesun.co.uk/sport/24169940/arsenal-ivan-toney-transfer-santiago-gimenez/
10,TOP FIFTY,Free bets: Get £50 welcome bonus to spend on football with Paddy Power,https://www.thesun.co.uk/sport/24092720/paddy-power-new-customer-free-bets-football/
11,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
12,WELCOME OFFER,Get £30 in free bets for the football this weekend with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
