,title,subtitle,link
0,OUT OF THEIR LEAGUE,Supercomputer predicts final Prem table with critical drop for Man Utd,https://www.thesun.co.uk/sport/24115417/supercomputer-premier-league-table-man-utd-burnley/
1,TO THE MAX,Arsenal fans say 'that's CRAZY' as 13-year-old wonderkid makes debut for U18s,https://www.thesun.co.uk/sport/24122618/arsenal-fans-wonderkid-debut-wilshere-u18s-max-dowman/
2,ACE TRAGEDY,"Maddy Cusack's death not suspicious, police say as they release update",https://www.thesun.co.uk/sport/24122544/maddy-cusack-death-not-suspicious-police-update-tragedy/
3,JUST IN LUK,Tottenham COMPLETE deal for 16-year-old defender after beating Chelsea to deal,https://www.thesun.co.uk/sport/24117175/tottenham-complete-signing-centre-back-chelsea-luka-vuskovic/
4,ROD ONE OUT,Fans discover bizarre stat about James Rodriguez's seventh cup in a row,https://www.thesun.co.uk/sport/24123897/fans-james-rodriguez-bizarre-stat-seventh-cup/
5,CHELSEA 0 VILLA 1,Poch's run goes from bad to worse as 10-man Blues are downed by Watkins,https://www.thesun.co.uk/sport/24094295/chelsea-vs-aston-villa-live-score-result-premier-league/
6,POCH WATCH,Ex-Premier League boss seen at Stamford Bridge as pressure mounts on Pochettino,https://www.thesun.co.uk/sport/24119112/premier-league-manager-julen-lopetegui-chelsea-mauricio-pochettino/
7,BRU WHAT?,Chelsea 'secretly get rid of Bruno Saltor' months after landing new job at club,https://www.thesun.co.uk/sport/24121712/chelsea-secretly-bruno-saltor-leave-mauricio-pochettino/
8,POCH'S MARE,Chelsea star Malo Gusto SENT OFF for horror tackle on Aston Villa's Lucas Digne,https://www.thesun.co.uk/sport/24109226/chelsea-malo-gusto-red-card-var-aston-villa-digne/
9,WELCOME OFFER,Join Fabulous Vegas and get a 100% deposit match bonus and 50 free spins,https://www.thesun.co.uk/sun-bingo/23596453/join-fabulous-vegas-bonus-match-free-spins/
10,FEELING BLEW,Chelsea fans fume 'do rules get thrown in BIN when we play' after ref blunder,https://www.thesun.co.uk/sport/24109239/chelsea-fans-fume-referee-blew-early-half-time/
11,CHELSEA RATINGS,Enzo Fernandez struggles but Robert Sanchez is worryingly best in lineup,https://www.thesun.co.uk/sport/24108813/chelsea-player-ratings-enzo-struggles-thirteen-flops/
12,WHAT THE CHEL,Chelsea trolled with fans excited to see Goal of the Month 'from TRAINING',https://www.thesun.co.uk/sport/24110266/chelsea-goal-of-the-month-aston-villa-pochettino/
13,TOP FIFTY,Free bets: Get £50 welcome bonus to spend on football with Paddy Power,https://www.thesun.co.uk/sport/24092720/paddy-power-new-customer-free-bets-football/
